model,feature_set,num_features,accuracy,precision,recall,f1,roc_auc,pr_auc,attack_intensity
Random Forest,full,20,0.9029166666666667,0.9157667386609071,0.8454636091724825,0.8792120269569725,0.9695765959101936,0.9638067779462764,0.2
Tuned Rule Baseline,domain_rules,4,0.7483333333333333,0.6946341463414634,0.7098703888334995,0.7021696252465484,,,0.2
Random Forest,full,20,0.9508333333333333,0.9510703363914373,0.9302093718843469,0.9405241935483871,0.9896766393732187,0.9870035103014648,0.4
Tuned Rule Baseline,domain_rules,4,0.8475,0.7625721352019785,0.922233300099701,0.8348375451263538,,,0.4
Random Forest,full,20,0.95625,0.9481037924151696,0.9471585244267199,0.9476309226932669,0.9936632479083866,0.9914796459770002,0.6
Tuned Rule Baseline,domain_rules,4,0.88375,0.8073005093378608,0.9481555333998006,0.8720770288858322,,,0.6
Random Forest,full,20,0.9629166666666666,0.9445525291828794,0.9680957128614157,0.9561792220580995,0.9932364681189074,0.9898925896328258,0.8
Tuned Rule Baseline,domain_rules,4,0.89875,0.8392857142857143,0.9371884346959123,0.885539331135186,,,0.8
Random Forest,full,20,0.9666666666666667,0.9424736337488016,0.9800598205383848,0.9608993157380255,0.9936696710155861,0.990240539413033,1.0
Tuned Rule Baseline,domain_rules,4,0.9154166666666667,0.9073319755600815,0.8883349950149552,0.8977329974811084,,,1.0
