model,feature_set,num_features,accuracy,precision,recall,f1,roc_auc,pr_auc,generator_seed,split_seed,n_samples,n_normal,n_attack
Random Forest,full,20,0.9641666666666666,0.9464459591041869,0.9690927218344965,0.9576354679802955,0.9948101293827893,0.9927997490786641,11,42,12000,6986,5014
Gradient Boosting,full,20,0.9595833333333333,0.9494047619047619,0.9541375872382851,0.9517652909000497,0.9940486343403576,0.9920654663497321,11,42,12000,6986,5014
Logistic Regression,full,20,0.9225,0.8946859903381642,0.9232303090727817,0.9087340529931305,0.9806792935438494,0.9726102417675131,11,42,12000,6986,5014
Tuned Rule Baseline,domain_rules,4,0.9054166666666666,0.8585951940850277,0.9262213359920239,0.891127098321343,,,11,42,12000,6986,5014
Velocity+Failure Rule,velocity_failure_rules,2,0.9054166666666666,0.8592592592592593,0.9252243270189432,0.8910225636101776,,,11,42,12000,6986,5014
Random Forest,full,20,0.9504166666666667,0.9225621414913958,0.9621136590229312,0.9419228892142508,0.9915229258537914,0.9881914574035636,23,42,12000,6986,5014
Gradient Boosting,full,20,0.94875,0.9296875,0.9491525423728814,0.9393191909225457,0.9913323736735392,0.9881157822642223,23,42,12000,6986,5014
Logistic Regression,full,20,0.91625,0.8811787072243346,0.9242273180458624,0.9021897810218978,0.9747807400989585,0.9636407520662321,23,42,12000,6986,5014
Tuned Rule Baseline,domain_rules,4,0.9020833333333333,0.8529411764705882,0.9252243270189432,0.8876135820181731,,,23,42,12000,6986,5014
Velocity+Failure Rule,velocity_failure_rules,2,0.9020833333333333,0.8535911602209945,0.9242273180458624,0.88750598372427,,,23,42,12000,6986,5014
Random Forest,full,20,0.9575,0.936108422071636,0.9641076769690927,0.949901768172888,0.993698218158695,0.9911342895925717,42,42,12000,6986,5014
Gradient Boosting,full,20,0.9579166666666666,0.9438976377952756,0.9561316051844466,0.9499752352649826,0.9938445222671285,0.9915185670607459,42,42,12000,6986,5014
Logistic Regression,full,20,0.9216666666666666,0.8899521531100478,0.9272183449651047,0.908203125,0.9796430322489939,0.9696971500865929,42,42,12000,6986,5014
Tuned Rule Baseline,domain_rules,4,0.9058333333333334,0.8593894542090657,0.9262213359920239,0.8915547024952015,,,42,42,12000,6986,5014
Velocity+Failure Rule,velocity_failure_rules,2,0.90625,0.8615241635687733,0.9242273180458624,0.8917748917748918,,,42,42,12000,6986,5014
Random Forest,full,20,0.9554166666666667,0.9324324324324325,0.963110667996012,0.9475232957332026,0.9927640129004539,0.9896497091430954,67,42,12000,6986,5014
Gradient Boosting,full,20,0.9520833333333333,0.9361493123772102,0.9501495513459621,0.9430974764967838,0.9918726283568764,0.9886097091044378,67,42,12000,6986,5014
Logistic Regression,full,20,0.9154166666666667,0.8853564547206165,0.9162512462612163,0.9005389514943655,0.976547808257404,0.9643473916645519,67,42,12000,6986,5014
Tuned Rule Baseline,domain_rules,4,0.9108333333333334,0.8718190386427899,0.922233300099701,0.8963178294573644,,,67,42,12000,6986,5014
Velocity+Failure Rule,velocity_failure_rules,2,0.9166666666666666,0.9126413155190134,0.8853439680957128,0.8987854251012146,,,67,42,12000,6986,5014
Random Forest,full,20,0.9583333333333334,0.9379243452958292,0.9641076769690927,0.9508357915437562,0.992425015576035,0.9887269138516215,101,42,12000,6986,5014
Gradient Boosting,full,20,0.9583333333333334,0.945705824284304,0.9551345962113659,0.9503968253968254,0.9924942423980742,0.989270539245151,101,42,12000,6986,5014
Logistic Regression,full,20,0.92875,0.8977055449330784,0.9361914257228315,0.9165446559297218,0.9780408238420029,0.9646124797807316,101,42,12000,6986,5014
Tuned Rule Baseline,domain_rules,4,0.9095833333333333,0.90020366598778,0.8813559322033898,0.8906801007556675,,,101,42,12000,6986,5014
Velocity+Failure Rule,velocity_failure_rules,2,0.9133333333333333,0.9093717816683831,0.8803589232303091,0.894630192502533,,,101,42,12000,6986,5014
