model,feature_set,num_features,accuracy,precision,recall,f1,roc_auc,pr_auc
Random Forest,full,20,0.9675,0.9468599033816425,0.9770687936191426,0.9617271835132483,0.9942370454848769,0.9913119033048637
Random Forest,top_15,15,0.9666666666666667,0.944177093358999,0.9780658025922233,0.960822722820764,0.9941335620911068,0.9912135856307253
Gradient Boosting,full,20,0.9645833333333333,0.9544554455445544,0.9611166500498505,0.9577744659711873,0.9942077846631902,0.9917220750735269
Gradient Boosting,top_15,15,0.9633333333333334,0.9552238805970149,0.9571286141575274,0.9561752988047809,0.9937531714091797,0.9910801479364959
Random Forest,top_10,10,0.9595833333333333,0.9398058252427185,0.9651046859421735,0.9522872602065913,0.9914372844244647,0.9871126331520506
Gradient Boosting,top_10,10,0.9554166666666667,0.9444444444444444,0.9491525423728814,0.9467926404773744,0.9909755343846769,0.9872807716662868
Random Forest,top_5,5,0.93375,0.9153543307086615,0.9272183449651047,0.9212481426448736,0.9838944155364973,0.9768699886616766
Logistic Regression,full,20,0.93125,0.9099804305283757,0.9272183449651047,0.9185185185185185,0.9820374238772587,0.9750977126197186
Gradient Boosting,top_5,5,0.93,0.9105211406096362,0.9232303090727817,0.9168316831683169,0.9821516124496945,0.9743257412039501
Logistic Regression,top_15,15,0.92875,0.9094488188976378,0.9212362911266201,0.9153046062407132,0.9813744164785527,0.9741351757322594
Logistic Regression,top_10,10,0.9220833333333334,0.9063745019920318,0.9072781655034895,0.9068261086198306,0.9765463809002484,0.9686230907392289
Velocity+Failure Rule,velocity_failure_rules,2,0.9183333333333333,0.9190031152647975,0.8823529411764706,0.9003051881993896,,
Tuned Rule Baseline,domain_rules,4,0.9154166666666667,0.9073319755600815,0.8883349950149552,0.8977329974811084,,
Logistic Regression,top_5,5,0.9133333333333333,0.8955223880597015,0.8973080757726819,0.896414342629482,0.9608939823336005,0.9473641750691212
