model,feature_set,num_features,accuracy,precision,recall,f1,roc_auc,pr_auc,split_seed
Random Forest,full,20,0.9616666666666667,0.932573599240266,0.9790628115653041,0.9552529182879378,0.9929195948303977,0.9898120992704873,3
Gradient Boosting,full,20,0.9583333333333334,0.9448275862068966,0.9561316051844466,0.9504459861248761,0.9923793401470606,0.9890950229361091,3
Logistic Regression,full,20,0.925,0.9014634146341464,0.9212362911266201,0.9112426035502958,0.9756535689995154,0.959985355372217,3
Tuned Rule Baseline,domain_rules,4,0.9116666666666666,0.9048106448311156,0.8813559322033898,0.8929292929292929,,,3
Velocity+Failure Rule,velocity_failure_rules,2,0.91375,0.9137214137214137,0.8763708873379861,0.8946564885496183,,,3
Random Forest,full,20,0.9558333333333333,0.9179869524697111,0.9820538384845464,0.9489402697495183,0.9923386604681304,0.9886966822294371,7
Gradient Boosting,full,20,0.9558333333333333,0.931665062560154,0.9651046859421735,0.9480901077375122,0.9925320673626936,0.9893515891899376,7
Logistic Regression,full,20,0.9125,0.8730009407337723,0.9252243270189432,0.8983543078412392,0.9721180053254697,0.9578643475227776,7
Tuned Rule Baseline,domain_rules,4,0.9054166666666666,0.883399209486166,0.8913260219341974,0.8873449131513648,,,7
Velocity+Failure Rule,velocity_failure_rules,2,0.9075,0.8964467005076142,0.8803589232303091,0.8883299798792756,,,7
Random Forest,full,20,0.9558333333333333,0.9219190968955786,0.9770687936191426,0.9486931268151017,0.9912217534939919,0.9871727614886967,13
Gradient Boosting,full,20,0.9470833333333334,0.9244186046511628,0.9511465603190429,0.9375921375921376,0.990892747669661,0.9871705683627657,13
Logistic Regression,full,20,0.9129166666666667,0.878095238095238,0.9192422731804586,0.8981977593765221,0.9734846998018116,0.9592835189782736,13
Tuned Rule Baseline,domain_rules,4,0.9079166666666667,0.8863636363636364,0.8943170488534397,0.8903225806451613,,,13
Velocity+Failure Rule,velocity_failure_rules,2,0.9104166666666667,0.8955823293172691,0.8893320039880359,0.8924462231115557,,,13
Random Forest,full,20,0.95625,0.9268060836501901,0.9720837487537388,0.948905109489051,0.9917177601055102,0.9880944252630327,21
Gradient Boosting,full,20,0.9525,0.9294685990338164,0.959122632103689,0.9440628066732091,0.9924478532905221,0.989793949716005,21
Logistic Regression,full,20,0.9170833333333334,0.8850574712643678,0.9212362911266201,0.9027845627747924,0.9757977320722157,0.9657253119712848,21
Tuned Rule Baseline,domain_rules,4,0.9045833333333333,0.8846918489065606,0.8873379860418744,0.8860129417620707,,,21
Velocity+Failure Rule,velocity_failure_rules,2,0.90375,0.8898989898989899,0.8783649052841476,0.8840943301555444,,,21
Random Forest,full,20,0.9675,0.9468599033816425,0.9770687936191426,0.9617271835132483,0.9942370454848769,0.9913119033048637,42
Gradient Boosting,full,20,0.9645833333333333,0.9544554455445544,0.9611166500498505,0.9577744659711873,0.9942077846631902,0.9917220750735269,42
Logistic Regression,full,20,0.93125,0.9099804305283757,0.9272183449651047,0.9185185185185185,0.9820374238772587,0.9750977126197186,42
Tuned Rule Baseline,domain_rules,4,0.9154166666666667,0.9073319755600815,0.8883349950149552,0.8977329974811084,,,42
Velocity+Failure Rule,velocity_failure_rules,2,0.9183333333333333,0.9190031152647975,0.8823529411764706,0.9003051881993896,,,42
Random Forest,full,20,0.95625,0.9268060836501901,0.9720837487537388,0.948905109489051,0.9925698923273131,0.9893182879230906,99
Gradient Boosting,full,20,0.9541666666666667,0.9322362052274927,0.9601196410767697,0.9459724950884086,0.992318677467954,0.9891879540787472,99
Logistic Regression,full,20,0.9170833333333334,0.8865384615384615,0.9192422731804586,0.9025942241801272,0.975887655573009,0.9648993336246405,99
Tuned Rule Baseline,domain_rules,4,0.9120833333333334,0.8975903614457831,0.8913260219341974,0.894447223611806,,,99
Velocity+Failure Rule,velocity_failure_rules,2,0.9116666666666666,0.9056410256410257,0.8803589232303091,0.8928210313447927,,,99
Random Forest,full,20,0.9554166666666667,0.9315992292870906,0.9641076769690927,0.9475747182753552,0.9903824674865882,0.9855831818641254,123
Gradient Boosting,full,20,0.9495833333333333,0.9340551181102362,0.9461615154536391,0.9400693412580485,0.9902233171637558,0.9860289454968049,123
Logistic Regression,full,20,0.92,0.8933074684772065,0.9182452642073778,0.9056047197640118,0.9750084035652526,0.9624648576996329,123
Tuned Rule Baseline,domain_rules,4,0.9095833333333333,0.8953722334004024,0.8873379860418744,0.8913370055082624,,,123
Velocity+Failure Rule,velocity_failure_rules,2,0.90875,0.9008179959100204,0.8783649052841476,0.889449772841999,,,123
