feature,importance_mean,importance_std,n_folds,n_repeats,scoring_metric,heldout_test_used
risk_country_ratio,0.03782017983880408,0.0034489628660761234,5,8,f1,False
sequential_phone_score,0.010270290501430954,0.002736811565914494,5,8,f1,False
repeat_phone_ratio,0.009037538722151442,0.002635290918951839,5,8,f1,False
request_velocity_per_sec,0.007988609569178231,0.0013124684989715832,5,8,f1,False
otp_requests,0.007955563635962334,0.0020803863705493265,5,8,f1,False
carrier_entropy,0.004811430264166019,0.0015758986724354021,5,8,f1,False
device_phone_ratio,0.0045568501237214735,0.0021459224006089065,5,8,f1,False
repeat_ip_ratio,0.004556334746790416,0.0016193211214469566,5,8,f1,False
new_account_ratio,0.004187715515003465,0.0024586690067050724,5,8,f1,False
failure_rate,0.0038415345743008423,0.0030902773952329126,5,8,f1,False
prefix_concentration,0.0038344942562568126,0.0014236295213602734,5,8,f1,False
avg_interarrival_ms,0.0038287916264893975,0.000715673580589985,5,8,f1,False
success_rate,0.0025560684604076485,0.0026206639948829287,5,8,f1,False
unique_ip_count,0.0010285925268680497,0.0014729764099003888,5,8,f1,False
country_entropy,0.0007137188051535542,0.0012297595631135174,5,8,f1,False
ip_phone_ratio,0.0006000712805154351,0.001267525691728794,5,8,f1,False
window_seconds,0.0,0.0,5,8,f1,False
unique_device_count,-0.00017550015462013956,0.0012882581281496092,5,8,f1,False
night_request_ratio,-0.0003208561503053542,0.0006684739423760915,5,8,f1,False
unique_phone_count,-0.0006757896722642903,0.0022707543832219553,5,8,f1,False
